,Sex,DVRT,Educational_level,Leaving_Certificate,Prestige_score,Type_school,Count Indeks,Indeks
0,1,113,3,0,28.0,1,65.58139534883722,B
1,1,101,1,0,28.0,3,60.0,C
2,1,110,8,1,69.0,1,83.25581395348837,A
3,1,121,5,0,57.0,1,82.7906976744186,A
4,1,82,4,0,18.0,2,46.51162790697674,C
5,1,85,4,0,28.0,2,52.55813953488372,C
6,1,84,1,0,18.0,3,47.44186046511628,C
7,1,98,2,0,43.0,2,65.58139534883722,B
8,1,92,4,0,33.0,2,58.139534883720934,C
9,1,90,1,0,18.0,3,50.23255813953489,C
10,1,88,4,0,28.0,2,53.95348837209303,C
11,1,84,4,0,18.0,2,47.44186046511628,C
12,1,114,10,1,18.0,1,61.395348837209305,B
13,1,70,4,0,57.0,2,59.06976744186046,C
14,1,109,8,1,40.0,1,69.30232558139535,B
15,1,83,4,0,43.0,2,58.6046511627907,C
16,1,108,4,0,69.0,2,82.32558139534883,A
17,1,95,3,0,43.0,1,64.18604651162791,B
18,1,90,4,0,28.0,2,54.88372093023256,C
19,1,107,8,1,28.0,1,62.7906976744186,B
20,1,86,1,0,18.0,3,48.372093023255815,C
21,1,70,2,0,43.0,2,52.55813953488372,C
22,1,114,8,1,18.0,1,61.395348837209305,B
23,1,117,8,1,42.0,1,73.95348837209302,B
24,1,112,8,1,43.0,1,72.09302325581395,B
25,1,88,10,1,18.0,1,49.30232558139535,C
26,1,106,10,1,42.0,1,68.83720930232559,B
27,1,125,10,1,28.0,1,71.16279069767441,B
28,1,94,8,1,18.0,1,52.093023255813954,C
29,1,103,5,0,18.0,1,56.27906976744186,C
30,1,123,8,1,46.0,1,78.6046511627907,B
31,1,100,4,0,35.0,2,62.7906976744186,B
32,1,90,3,0,27.0,1,54.418604651162795,C
33,1,70,4,0,51.0,2,56.27906976744186,C
34,1,90,3,0,46.0,1,63.25581395348837,B
35,1,99,3,0,18.0,1,54.418604651162795,C
36,1,123,3,0,43.0,1,77.20930232558139,B
37,1,127,8,1,43.0,1,79.06976744186046,B
38,1,124,8,1,62.0,1,86.51162790697674,A
